1	Column header	Column meaning	Number of unique entries	Type of data	Grouping
34	FEV1_RATIO_SCORE	Groups of FEV1 ratios: 1=0.95-1; 2=0.9-0.949; 3=<0.9	4	Categorical	
35	FEV1_Obstruction_Rank	UNKOWN	3	Categorical	
36	Cystic Fibrosis related diabetes (CFRD)	Does the pwCF have CFRD (yes/no) or prediabetes (impaired)	3	Categorical	
37	Pancreatic insufficiency (PI)	Does the pwCF have pancreatic insufficiency?	4	Categorical	
38	CF gene 1	What is the allele of CF gene 1	1	Categorical	
39	CF gene 2	What is the allele of CF gene 2	15	Text	
40	Notes	Other comments	57	Text	
41	CFLD	Does the pwCF have CF related liver disease?	4	Categorical	
42	CS_mucoid	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
43	CS_non-mucoid	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
44	CS_Pseudomonas aeruginosa	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
45	CS_Oral flora	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
46	CS_Stenophotomonas maltophilia	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
47	CS_Aspergillus fumigatus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
48	CS_Aspergillus flavus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
49	CS_Candida albicans	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
50	CS_Mycobacteroides abscessus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
51	CS_Mycobacterium intracellulare	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
52	CS_Staphylococcus  aureus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
53	CS_Inquilinus limosus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
54	CS_Achromobacter xylosoxidans	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
55	CS_Burkholderia cepacia	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
56	CS_NTM_(Smear negative)	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
57	CS_Mycolicibacter terrae	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
58	CS_Aspergillus nidulans	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
59	CS_MAC_(Smear negative)	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
60	CS_Penicillium	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
61	CS_Aspergillus niger	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
62	CS_Aspergillus terreus	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
64	CS_Lomentospora prolificans	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
65	CS_Acremonium species	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
66	CS_MDR_Pseudomonas aeruginosa	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
67	CS_Haemophilus influenzae	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
68	CS_Scedosporium apiospermum	"Culture positivity for these organisms (see column ""Culture result"")"	2	Categorical	Culture Status
69	P12M_0_Nothing	Past 12 months positivity for these organisms	3	Categorical	Culture Status
70	P12M_1_Staphylococcus aureus	Past 12 months positivity for these organisms	3	Categorical	Culture Status
71	P12M_2_Pseudomonas aeruginosa	Past 12 months positivity for these organisms	3	Categorical	Culture Status
72	P12M_3_Stenotrophomonas maltophilia	Past 12 months positivity for these organisms	3	Categorical	Culture Status
73	P12M_4_Rapid NTM	Past 12 months positivity for these organisms	3	Categorical	Culture Status
74	P12M_5_Slow NTM	Past 12 months positivity for these organisms	3	Categorical	Culture Status
75	P12M_6_Aspergillus	Past 12 months positivity for these organisms	3	Categorical	Culture Status
76	P12M_7_Burkholderia cepacia	Past 12 months positivity for these organisms	3	Categorical	Culture Status
77	P12M_8_Haemophilus influenza	Past 12 months positivity for these organisms	3	Categorical	Culture Status
78	P12M_9_Streptococcus pneumoniae	Past 12 months positivity for these organisms	3	Categorical	Culture Status
79	P12M_10_Achromobacter xylosoxidans	Past 12 months positivity for these organisms	3	Categorical	Culture Status
80	P12M_11_Serratia marcesens	Past 12 months positivity for these organisms	3	Categorical	Culture Status
81	P12M_12_Inquilinus limosus	Past 12 months positivity for these organisms	3	Categorical	Culture Status
82	P12M_13_Scedosporum apiospermum	Past 12 months positivity for these organisms	3	Categorical	Culture Status
83	P12M_14_Moraxella catarrhalis	Past 12 months positivity for these organisms	3	Categorical	Culture Status
84	Next PA Positive Date	Next Pseudomonas positivity date	44	Date	
85	Positive for PA within next 12 months	Was the pwCF positive for Pseudomonas within the next 12 months	4	Categorical	
86	Culture for next sample	Other culture notes	66	Text	
87	N12M_Pseudomonas aeruginosa	Next 12 months positivity for these organisms	3	Categorical	Culture Status
88	N12M_Pseudomonas aeruginosa (multi-resistant)	Next 12 months positivity for these organisms	3	Categorical	Culture Status
89	N12M_mucoid	Next 12 months positivity for these organisms	3	Categorical	Culture Status
90	N12M_non_mucoid	Next 12 months positivity for these organisms	3	Categorical	Culture Status
91	N12M_MAC	Next 12 months positivity for these organisms	3	Categorical	Culture Status
92	N12M_M intracellulare	Next 12 months positivity for these organisms	3	Categorical	Culture Status
93	N12M_Candida albicans	Next 12 months positivity for these organisms	3	Categorical	Culture Status
94	N12M_Achromobacter xylosoxidans	Next 12 months positivity for these organisms	3	Categorical	Culture Status
95	N12M_Aspergillus fumigatus	Next 12 months positivity for these organisms	3	Categorical	Culture Status
96	N12M_Stenotrophomonas maltophilia	Next 12 months positivity for these organisms	3	Categorical	Culture Status
97	N12M_Staphylococcus aureus	Next 12 months positivity for these organisms	3	Categorical	Culture Status
98	N12M_M gordonae	Next 12 months positivity for these organisms	3	Categorical	Culture Status
99	N12M_M chelonae	Next 12 months positivity for these organisms	3	Categorical	Culture Status
100	O_Penicillium species	Other observations of these organisms	2	Categorical	Culture Status
101	O_Enterobacter cloacae	Other observations of these organisms	2	Categorical	Culture Status
102	O_Aspergillus Flavus	Other observations of these organisms	2	Categorical	Culture Status
103	O_Mycobacterium abscessus	Other observations of these organisms	2	Categorical	Culture Status
104	O_Cupriavidus gilardii	Other observations of these organisms	2	Categorical	Culture Status
105	O_Mycobacterium intracellular	Other observations of these organisms	2	Categorical	Culture Status
106	O_Scedosporium apiospermum	Other observations of these organisms	1	Categorical	Culture Status
107	O_Pseudomonas aeruginosa (multi-resistant)	Other observations of these organisms	2	Categorical	Culture Status
108	O_Streptococcus pyogenes	Other observations of these organisms	2	Categorical	Culture Status
109	O_Pseudomonas aeruginosa (non-mucoid)	Other observations of these organisms	2	Categorical	Culture Status
110	O_Chryseobacterium indologenes	Other observations of these organisms	2	Categorical	Culture Status
111	O_Bordetella species	Other observations of these organisms	2	Categorical	Culture Status
112	O_Klebsiella oxytoca	Other observations of these organisms	2	Categorical	Culture Status
113	O_Mycobacterium mucogenicum	Other observations of these organisms	2	Categorical	Culture Status
114	O_Mycobacterium scotochromogen	Other observations of these organisms	2	Categorical	Culture Status
115	O_Acinetobacter species	Other observations of these organisms	2	Categorical	Culture Status
116	O_Enterobacter species	Other observations of these organisms	2	Categorical	Culture Status
117	O_Aspergillus niger	Other observations of these organisms	2	Categorical	Culture Status
118	O_Aspergillus terreus	Other observations of these organisms	2	Categorical	Culture Status
119	O_Pseudomonas aeruginosa (mucoid)	Other observations of these organisms	2	Categorical	Culture Status
120	O_Proteus mirabilis	Other observations of these organisms	2	Categorical	Culture Status
121	O_talaromyces purpurogenus	Other observations of these organisms	2	Categorical	Culture Status
122	O_Trichosporon mycotoxinivorans	Other observations of these organisms	1	Categorical	Culture Status
123	Antibiotics (duration)	How long is the pwCF on antibiotics	111	Text	
124	Antibiotics_YN	Yes/No for antibiotic use	2	Categorical	
125	IV	Intravenous antibiotics	2	Categorical	
126	INH	Inhaled antibiotics	2	Categorical	
127	PO	Peroral antibiotics	2	Categorical	
128	2 Amphotericin B (Ambisome)_INH	Use of these specific antibiotics	2	Categorical	
129	4 Amikacin_IV	Use of these specific antibiotics	2	Categorical	
130	2 Amikacin_INH	Use of these specific antibiotics	2	Categorical	
131	2 Amoxicillin & Potassium clavulanate (Aug Duo)_PO	Use of these specific antibiotics	2	Categorical	
132	3 Azithromycin_IV	Use of these specific antibiotics	2	Categorical	
133	2 Azithromycin_PO	Use of these specific antibiotics	2	Categorical	
134	3 Aztreonam_IV	Use of these specific antibiotics	1	Categorical	
135	3 Cefopime_IV	Use of these specific antibiotics	2	Categorical	
136	4 Cefoxitin_IV	Use of these specific antibiotics	2	Categorical	
137	3 Ceftazidime_IV	Use of these specific antibiotics	2	Categorical	
138	2 Ceftazidime_INH	Use of these specific antibiotics	2	Categorical	
139	1 Cephalexin_PO	Use of these specific antibiotics	2	Categorical	
140	2 Ciprofloxacin_PO	Use of these specific antibiotics	2	Categorical	
141	2 Clarithromycin_PO	Use of these specific antibiotics	2	Categorical	
142	2 Clofazimine PO	Use of these specific antibiotics	2	Categorical	
143	4 Colistin_IV	Use of these specific antibiotics	2	Categorical	
144	2 Colistin_IHN	Use of these specific antibiotics	2	Categorical	
145	1 Flucloaxcillin_PO	Use of these specific antibiotics	2	Categorical	
146	3 Imipenem	Use of these specific antibiotics	2	Categorical	
147	1 Itraconazole (Lozenoc)_PO	Use of these specific antibiotics	2	Categorical	
148	3 Ivacaftor (Kalydeco)	Use of these specific antibiotics	2	Categorical	
149	3 Meropenem_IV	Use of these specific antibiotics	2	Categorical	
150	3 Methylpredinosolone_IV	Use of these specific antibiotics	2	Categorical	
151	3 Omalizumab_SC	Use of these specific antibiotics	2	Categorical	
152	"3 piperacillin sodium, tazobactam sodium (Tazocin)_IV"	Use of these specific antibiotics	2	Categorical	
153	2 prednisolone_PO	Use of these specific antibiotics	2	Categorical	
154	1 Sulfamethoxazole_trimethoprim (Bactrim)_PO	Use of these specific antibiotics	2	Categorical	
155	3 tobramycin_IV	Use of these specific antibiotics	2	Categorical	
156	2 tobramycin_INH	Use of these specific antibiotics	2	Categorical	
157	Sum of antibiotics	How many total antibiotics	7	Categorical	
158	Sum of meds	How many total medications	7	Categorical	
159	Sum of antifungals	How many total antifungals	3	Categorical	
160	Sum of steroid + mabs	How many total steriods and monoclonal antibodies	3	Categorical	
161	DNA_extraction_ conc	Concentration of DNA extracted	113	Numeric	
162	SAGC ULN	Unique Library Number from SAGC	127	Text	
163	DNA Conc. (ng/ul)	How much DNA was extracted	101	Numeric	
164	Index I7	The I7 barcode used	43	Text	
165	Index I5	The I5 barcode used	39	Text	
166	Mean_Size_BP	The mean sequence size	106	Numeric	
167	Total Clusters Passing Filter (Million)	How much sequencing was done	54	Numeric	
